tick,seq,t_ms,u1,u2,u3,u4,u5,u6,u7,u8,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32
11,11,100,0,0,0,0,0,0,0,0,213.04171148693,286.143321178306,234.686517000698,248.152225504615,252.368285662496,258.025124733538,209.761063960841,309.323325538374,262.131733328893,211.133330535867,260.896156235472,240.191584639812,305.655527203581,169.406561174673,257.32643239484,279.262125351295,228.129730835796,198.661085292516,207.481796673635,293.96949682651,225.936538348923,270.049946048636,300.42456211975,335.545236256889,248.619549035177,225.647634610928,230.378075651208,235.551056092009,150.407194512767,250.848610611027,228.163594503324,274.601059652596
12,12,110,0,0,0,0,0,0,0,0,226.815049918891,282.419010098917,203.815577730223,204.647841947924,191.39518394558,255.928125038456,260.599676666976,213.389063832265,254.780535137087,247.709271671838,214.54877599663,290.396525573843,181.489204979718,236.195268571998,259.696878340204,220.979732285632,196.519869312155,253.833868133817,270.9322332011,220.086260929158,232.30312661803,211.670667262821,321.909067579281,257.287275686715,296.757752584168,245.103902484647,190.847663618014,210.464539756086,325.753561403261,255.871080883932,305.644789857787,203.21646716166
13,13,120,0,0,0,0,0,0,0,0,244.048632135209,297.491183466027,240.616789202153,234.472282053417,235.539506089141,280.424142702321,264.90187013476,253.103068728437,280.74178869806,282.294905520412,220.99026380451,264.039843163283,238.663387676533,263.691726219598,248.303273663404,234.582623213635,254.139444403205,270.529611902233,243.065326972363,344.094715568559,246.680108340989,203.487663248308,315.826174989991,186.79392968759,261.273566920799,281.753944968757,299.735921590442,235.455654435572,270.512722841104,244.780687727223,210.629675385835,294.449189728919
14,14,130,0,0,0,0,0,0,0,0,227.387856435046,261.13201604312,252.867078877147,204.793646068416,214.080993047696,265.321996203171,246.720522165981,195.156229224698,200.771716417295,285.129128286538,294.864692358016,291.668846895159,286.196412844064,262.152285693145,291.523110786752,236.77083970368,267.112943083848,288.57318039741,288.855991892946,217.819504549448,254.372161747652,221.487834092404,313.632561381409,260.858695400583,297.02641519637,216.609466205497,321.802936358349,211.714141741015,267.153251411211,206.199770466481,248.68144393987,283.407834199856
15,15,140,0,0,0,0,0,0,0,0,236.820751346927,280.227369668403,199.753515332838,292.0679569836,302.067666813236,278.642440615176,255.600587430929,255.190000015184,332.620166617155,219.712177338077,260.612809316139,301.63365085781,332.091891062901,272.446215074129,234.716313123688,243.112886175699,283.567091922023,234.83356851972,246.251389280601,241.197246196149,249.323239531249,237.009760718338,323.018853133991,222.9381574356,288.840171170739,169.810972519953,206.116050006654,273.492944037912,251.754249770314,237.422558125845,290.88625712661,259.859462744039
16,16,150,0,0,0,0,0,0,0,0,234.999502316903,310.845020497131,353.869074111935,305.472686090949,270.721612624146,245.308544437941,181.392773941424,265.464868981364,227.275888096543,238.393749306675,308.019194436879,258.304340928559,320.762932494448,299.612968063049,204.633986956379,235.129037956541,273.43112046169,280.596718830879,283.813059789376,289.460683036185,166.217430079862,262.469122048642,296.730941416057,226.108744872949,269.512929912209,306.481407304103,222.620301731907,218.165485588706,289.337269544578,169.449991158991,198.141717950445,256.836454741528
17,17,160,0,0,0,0,0,0,0,0,229.558895157057,282.958069536991,220.654526465591,239.329785507228,271.382799677732,197.630852122501,259.52811995481,173.512319853505,279.988270820278,288.702560878057,276.59746367028,191.518937484539,268.495414279041,263.936176847544,226.715434296757,273.268767402183,271.183640746499,323.16661280015,271.904946910939,263.774137107344,215.379641053902,234.920688134741,276.78111942015,274.18452169811,187.209379917046,245.546062645708,225.54127591587,242.202027927013,289.563845727937,217.50957750442,252.729339534428,239.155243041431
18,18,170,0,0,0,0,0,0,0,0,304.611184903559,276.073895613259,304.97731828002,257.545377899629,282.170039872507,238.565030995122,165.298919236022,198.214417023342,238.627662431511,245.433882370291,308.24013392627,273.976232353012,247.802322297569,279.559320707387,231.535925019877,259.38565346162,253.746346261198,256.698647099326,159.332869108353,254.803976921347,282.118741684678,221.388634585487,292.368544739118,259.236940739232,168.984939530173,301.165178317929,224.984306541477,240.136999941038,239.343462408611,305.867607709833,261.867389611775,244.862903824824
19,19,180,0,0,0,0,0,0,0,0,203.879880241507,263.152860626151,276.894578801576,259.972963006086,178.8977783148,240.878740206205,290.161622276542,248.903205777424,266.597386737205,250.658703088171,197.259594070156,306.888756428636,216.176559094684,242.210034422097,217.805692639089,242.516233741555,290.57783607363,258.501188836001,163.613072220802,218.862160289558,264.736923487235,283.250083167745,299.971594631651,277.264459478234,259.302534348195,279.150221377231,224.452655606588,299.701880089523,279.270506731146,288.110303830843,248.9827696946,345.753580919517
20,20,190,0,0,0,0,0,0,0,0,259.063620942996,262.593740259356,249.833503198084,229.649633236492,277.941400365313,209.421217627976,215.038601742307,237.448170518027,241.434512826483,224.16381664979,260.315697550001,245.76330750832,314.695152588649,179.039652626098,258.438286928243,234.19981079874,202.768371876082,283.254094252573,317.778488500933,266.174763915388,299.390131959509,255.123728849533,291.709298188836,251.826903572107,232.069693460854,295.081616009138,272.775857764667,257.118993402741,217.082265015571,214.498033692476,199.503143253643,321.154190118813
21,21,200,0,0,0,0,0,0,0,0,315.743552007864,228.667919151242,227.374721133362,204.821394651288,318.237123021265,270.816617136214,280.83727894141,229.386556239703,242.554104872992,292.14322149591,227.023232665751,211.592032445232,238.519095683672,204.837515075671,223.800036766734,214.184670630063,242.38561780664,221.566344245285,251.138070368523,325.670939714636,202.609889130057,254.664179861853,307.173372211357,248.268665077175,251.352147845622,230.334504016581,250.314108080297,277.798964404293,230.555735851045,263.277376472868,315.77377242814,309.192614220848
22,22,210,0,0,0,0,0,0,0,0,280.341759568844,257.858411365346,198.794970748675,250.929800135863,263.634347539569,271.806009802783,181.114501041829,241.135406209612,220.113920419087,284.323442938759,230.873694894469,290.216037392857,249.083047248933,331.68983869876,266.43942299781,206.476409838264,277.22462674684,210.465996242972,247.641580461234,220.996094398505,180.563879641859,197.716526284326,281.811777881769,183.915200712154,213.358653044523,246.378115814346,205.993924775963,353.829893531363,283.24463584931,206.583991272954,300.934199440544,270.505635491619
23,23,220,0,0,0,0,0,0,0,0,263.123380594479,277.9759174016,274.107863524412,225.554625796569,213.991342598076,287.971891400176,211.965936094377,289.61550570499,275.526054408352,271.404256893308,218.417971454808,290.479978234218,265.345629063783,219.505811446308,158.178533079631,216.629169195814,268.183406143036,330.569796615866,287.000065786065,243.053561021678,213.738354239394,256.739145463242,267.982348406721,177.173702842746,232.550539786666,296.322945087034,190.05606454865,252.453018422297,271.818867768335,242.981929459606,311.625247473454,240.608255403927
24,24,230,0,0,0,0,0,0,0,0,246.872537351006,214.545621542728,217.923089619407,220.298778356074,232.69641665128,228.823011702188,225.02920486051,319.737706948313,275.484593234249,223.84146139252,277.125725893631,307.404944524841,212.080958780154,195.851138339516,204.372584612281,234.486540216257,191.767988175494,181.411296964961,280.012541690553,268.710905981251,219.896356604558,263.381810828166,278.784848732618,217.99685381944,214.275389021719,280.318122522625,225.338502878529,233.790395562758,239.24072126963,266.217565268377,237.793782757537,291.25737944353
25,25,240,0,0,0,0,0,0,0,0,184.584683644701,312.829780743301,208.537941159703,261.894329284517,287.357971797707,235.667206272294,181.371118361046,224.835604417736,265.960818068889,203.755055940296,253.110441618331,196.089028571508,214.99624757502,166.54162472081,270.923960384265,243.700777923587,225.718174031989,148.589394613904,220.320938748738,203.111166008983,262.528751445571,277.067022475163,257.960869230164,225.22886556282,293.608169346717,256.631579108635,189.595831749769,224.954804783966,272.81632957717,254.313884481431,265.740764602061,242.700227981305
26,26,250,0,0,0,0,0,0,0,0,240.599928671764,240.474256320672,298.162188026201,267.352881892893,271.778458296632,277.906878740749,269.21003501845,249.768352881187,289.969124243176,245.192373664916,290.926141995022,238.721646064571,231.655849422769,320.32333811732,249.638635409087,255.571979729553,170.245186265042,280.844189522668,250.806374763445,185.282712289953,241.807456770371,326.856535948943,286.092414552099,225.138114105555,310.368295378449,234.30615668317,303.919180848388,262.908363225955,229.749590365629,277.934257715013,221.41656029135,266.250623911785
27,27,260,0,0,0,0,0,0,0,0,246.129554312765,274.104344060572,263.917019514758,212.881928681537,233.414645108737,204.782374207727,254.877928561674,250.039535375231,255.324508063208,273.853671937291,247.405896755972,250.288434430785,248.392936297267,259.142032814146,247.716828053427,223.587560549256,281.750328881793,289.857354753338,264.947805516393,191.570739524096,218.293967105339,188.607773026229,241.55455194293,289.765940638682,203.289249343986,221.237080043981,216.94216590961,259.236352334829,205.363979884117,233.483178793269,217.226686608469,338.257397670874
28,28,270,0,0,0,0,0,0,0,0,224.204089876883,275.406837725196,217.578941945058,286.394745305923,216.145153148764,252.754683497162,141.785876634603,250.598347917327,270.098889919064,239.598913265734,244.396391293668,236.404533345412,320.982259534532,182.651776909459,235.599335344399,256.362978367696,348.374528502195,298.588542798135,294.257883587819,244.674574030682,290.546685222092,190.358610188701,262.020000767423,248.02920461377,288.182666575767,208.198520725104,200.351107706268,303.507134388232,233.80547410504,278.873366142924,332.046474911419,276.927429100067
29,29,280,0,0,0,0,0,0,0,0,219.240899731586,260.25436503707,189.795234554346,216.772938563138,173.00697579378,280.903205818957,247.695850831462,165.590161298228,216.407537071052,295.468969098579,227.552480090393,256.929269043237,262.074697377655,305.379480233406,243.204740912455,199.014420693022,231.506190763047,213.220743205709,297.518403464975,299.646609599592,222.859462466327,282.615833732239,288.385419059382,189.460740438401,258.583223962952,287.387377149067,261.748882784289,240.874331795977,269.6532717117,272.024528817214,288.553860253033,289.669817940444
30,30,290,0,0,0,0,0,0,0,0,229.824137091725,276.485254469004,317.142429351668,192.228664955184,236.39152950708,135.164028445319,228.422053190624,256.756104686037,251.276993376281,337.394229878859,234.253393333303,259.916987510972,113.212041873387,219.200572226049,233.913367238054,232.384082606535,296.113275669056,247.282814174872,236.633168026841,262.167882194288,335.744169557705,260.785309403083,284.991000886282,261.85409915963,270.241227602824,229.388648167408,220.273338351167,262.146377776332,339.564640936972,252.06809077045,175.605665449629,185.96766546472
31,31,300,0,0,0,0,0,0,0,0,304.065915195515,256.182123986179,291.428696769697,258.715143446077,220.441978976051,255.002903594196,298.81451956795,229.368682578754,205.601464901567,262.215266221266,219.587990974404,165.505133217736,217.612941748028,245.639574007878,304.193423962334,192.736970917398,231.519127686313,281.980300222869,238.010510680438,226.644295477718,215.135831613897,272.426675131364,264.555596175158,294.060318258238,280.249042404055,274.392496010849,297.407040545321,242.988007053599,221.147828577069,173.228621961978,223.546402512633,209.561527658306
32,32,310,0,0,0,0,0,0,0,0,233.245651642622,184.350992225336,245.803128027529,289.151881705368,333.243786822506,252.436213982423,248.660049573872,185.175909425294,287.549945925174,227.280258929339,328.604994745401,252.476271010053,256.08798442019,239.581855742971,234.84698565599,257.343624521913,203.22018257598,287.5333000075,260.731170472774,231.9410910351,218.601077472749,298.822452036841,272.308120706571,261.359411318437,255.197681613755,228.359882171435,250.022097076447,213.230162800683,288.075063382552,288.936224284373,252.878173805179,266.698595891053
33,33,320,0,0,0,0,0,0,0,0,252.766728171456,196.078936127658,264.616324004761,281.491722955146,237.563293312137,277.989730116157,200.497108569588,220.760871569967,238.924578378907,245.663599418958,228.593469208913,277.967567042372,238.030515937594,295.98073211795,294.052985997907,215.177958778591,294.166943031611,225.233240878808,277.407690966294,239.943013779335,310.662158717599,281.76496052816,253.046458488727,267.141551852187,228.579600940989,304.183129153982,242.641852847719,234.07225162688,244.8371730618,243.886833928768,303.794431609279,249.423644995042
34,34,330,0,0,0,0,0,0,0,0,198.013499626162,281.602030931528,271.807080883649,305.044810620896,240.970338470507,196.374719460757,228.085595068192,273.125347935502,242.537366753598,213.730210356776,233.002386591159,275.748698098048,297.676889705992,277.366217712111,260.526606010952,240.09376935669,242.708403633793,248.430419521893,211.071619069518,244.205947214955,264.829126887324,270.231203058066,227.486825338322,256.828926645784,280.459941571957,263.982419508723,277.272946740442,225.076828195039,255.689860460308,295.188541820118,320.168877465219,246.007536073018
35,35,340,0,0,0,0,0,0,0,0,281.555097400757,288.543310588253,257.272370932382,230.855003430179,248.893546702518,298.75920929122,236.479906473809,255.901400383683,283.601028116354,238.143628991203,264.568759987017,222.425268536743,225.344444102118,262.066963500603,253.915449788635,248.627292196986,231.658436124092,221.747438672161,260.855495195884,273.410783744528,252.379989322384,269.779836078372,263.863335485688,275.423375259859,264.423291828214,286.468886059801,222.451933709735,219.272788234365,271.501960909044,292.739990681995,268.460688265538,285.103398067887
36,36,350,0,0,0,0,0,0,0,0,216.425030106172,228.690794568469,272.622234513326,307.723112716814,215.422276934768,248.101532435893,246.476137498602,278.213143839117,270.933962395248,250.961042368847,212.975327559879,235.094087577086,257.878983973238,221.98377191291,264.027763216571,236.463971437039,255.142394387082,232.471923376511,263.660539585339,234.739777718972,271.466660141508,334.443224397996,265.245404955699,254.556909201057,303.275403093098,225.67001273224,258.816975056489,229.495996183045,275.864439387052,306.016384064184,201.593536131517,228.122884099916
37,37,360,0,0,0,0,0,0,0,0,210.333323760781,267.756278723084,268.301434461838,208.028478933036,246.055864124001,313.284083204145,237.772356494627,220.316761796495,224.397139190787,233.09280375116,246.121560503755,239.776262466775,233.506585476759,244.42635909752,213.418649447793,250.035166564221,309.940454137893,262.582694184107,288.405522583771,219.751632798613,298.770226975746,340.511008061733,251.742641971061,276.860688665186,275.723650646888,193.155667683441,210.128575178951,243.00216330992,266.98359216048,193.346092326345,299.188271691608,226.919304282225
38,38,370,0,0,0,0,0,0,0,0,234.624828522942,238.379787812053,235.137079983434,200.087556718851,316.421858098679,300.747008679679,243.94303008442,237.015518289138,276.332564473859,292.217800347127,275.742033242004,278.448564043272,253.076470353462,284.73281179205,193.40842659984,213.695920573553,237.895040868962,207.837453857444,231.247411078236,252.20972835938,207.393232084045,220.760983650193,240.69587871517,220.771015994437,276.922488164157,272.010186090512,295.758614411821,242.484882148837,241.907786585282,222.413409820646,265.491352793884,188.29943657425
39,39,380,0,0,0,0,0,0,0,0,273.519395616668,230.412261863866,273.581231634529,255.585368682277,263.690733338102,188.683670580621,236.066983800903,243.247426585225,245.834926593767,276.412423798148,219.912425076847,252.914996417035,244.78732841881,227.725730969932,283.084640113035,235.620046272739,294.414404919561,238.729623368238,220.004423641182,144.680344573052,279.647134112924,239.9603788405,256.094304567832,265.853199660869,193.585638351378,204.252183048789,278.714745501026,228.406582866334,198.395683720375,273.119918449107,279.518008613967,280.852119695651
40,40,390,0,0,0,0,0,0,0,0,236.265870521067,193.305974865375,186.805964731442,339.090180168264,286.686305924212,331.250683951919,174.649106583545,242.026056284288,293.672088058228,237.810240148098,265.69664595807,270.503851233178,246.424695817123,272.650194671522,245.964508939216,246.329932899704,196.727952427934,310.675078248651,249.570006308327,234.600671858894,265.939944403294,217.079028760689,261.944432139347,238.355078117391,242.959386577428,241.159331859491,263.868756118632,262.997915402381,213.868512293857,220.420197898546,236.861423403599,197.271559279036
41,41,400,0,0,0,0,0,0,0,0,273.714101726675,241.31028803361,331.490866792111,268.423477470442,170.692589391555,225.171811521193,286.526013658506,316.930307957852,205.184374312973,266.759500462476,217.112547928251,290.819619109844,246.42353946609,232.479095134566,293.647156046589,201.190759501865,220.783848612916,253.317444716596,259.197928952199,289.930447522912,227.487447394437,275.729406348828,257.70767812001,276.546116755707,196.70023595255,280.043519876453,233.167091201284,192.649971665084,232.511553247003,183.040962780338,325.580271048968,212.439740444646
42,42,410,0,0,0,0,0,0,0,0,314.434756102293,333.928070931668,212.114928047472,174.337947988801,256.169242046381,234.45080318193,242.073890950414,298.842770678873,231.48500567176,266.029850906472,227.068108369535,274.92415840026,284.692085137043,220.886181466842,236.691451097046,260.960253145645,278.490522822206,221.107157870473,223.530132889755,199.141421468285,189.962137652322,207.578258477008,253.502460189424,211.876093230626,229.323641681521,216.443773165307,188.201248291173,230.440368113083,270.152212017782,213.081833432672,236.047806270316,218.439109125884
43,43,420,0,0,0,0,0,0,0,0,257.024948835773,224.923117465524,202.858951986857,293.501774447861,274.629651406872,276.224873480739,201.913409691039,245.863876894449,257.533631553797,261.946436842745,313.186789306595,223.984547273296,256.889104671222,232.510978299057,217.595723619467,281.961685468934,234.196678747652,240.661057630908,255.168608821636,206.099361318275,182.967305965249,276.455708720468,278.263497284789,256.912839065104,234.563170320619,186.62919372165,274.591251449814,316.988392980633,253.669296697381,231.358044272015,266.583221313179,247.140625846604
44,44,430,0,0,0,0,0,0,0,0,199.5054199639,296.174756362747,216.725996331491,313.716308164981,258.44158932076,240.052415597557,268.771025716463,253.10304289408,207.965022467003,236.348819708555,257.754327836327,222.292833955085,214.594646512801,233.702814522621,288.149524704329,202.297324010787,310.769461237061,263.588993422977,201.173224264974,250.90338600073,197.918966389059,276.775715323514,256.896717240851,225.699744383498,268.995994508156,244.038442068378,249.153509256491,307.883003470082,272.099312633814,253.841361248148,263.583673250689,212.811742759341
45,45,440,0,0,0,0,0,0,0,0,232.876608313223,255.852038304153,277.682182242383,167.766054624906,209.544174257287,222.769820554946,258.474641646372,218.106131423252,186.993047850722,305.132034830218,353.389654132745,192.236188488099,307.218001577975,280.057262967137,250.747501615297,251.504830699423,224.832054011783,245.690865850334,202.193594911626,212.045408345698,214.87972048226,222.012958960588,240.282112486381,204.197747519678,248.114726441225,177.781865564605,218.110749694263,340.667541439355,280.672733613742,247.229794095147,328.673173593535,266.863946925362
46,46,450,0,0,0,0,0,0,0,0,288.886364306815,233.929613030091,198.911043830554,188.926960489544,284.205735901901,224.056118376925,282.594849828672,248.561732115177,221.743734121439,302.543780352668,242.913495258326,217.116074041018,270.426995702645,176.536060354985,258.388471179816,269.425067448175,264.55442297942,290.57801614231,262.68724760228,300.154994527281,283.797578905384,306.548764208338,236.549973583081,265.626609405044,235.874462257195,239.11513439939,181.266018783981,216.727633783904,254.319038312639,220.130243229251,309.594629725733,237.022191531559
47,47,460,0,0,0,0,0,0,0,0,305.993267254018,205.996441877655,265.890277145945,298.246138491172,252.588107502698,279.981684743675,249.043707069213,305.422991202074,204.225211905865,250.178611292045,251.719150466792,297.245269461818,263.621070414735,265.832238627412,286.936308985595,217.275943877296,227.999109499671,307.704255321801,230.845754806158,176.977545820565,210.04118281417,207.086512821691,246.294664201124,261.257450709015,169.965603940761,278.377786897745,208.177497623725,249.662177983944,199.741366687951,243.341270235813,257.816210897913,192.24564816866
48,48,470,0,0,0,0,0,0,0,0,281.168277749437,273.249837327453,239.912358742986,267.115867901109,270.428133501665,217.626213886253,275.051191121514,252.975246248288,203.062185749763,231.665109152878,281.671048419871,226.975889263106,214.998555125151,298.443768154221,255.699962358483,201.472468310705,217.464994848392,259.097671992558,235.284720084397,227.487509787971,313.255893984742,247.359195531775,241.224080382734,261.455346419323,244.041388156261,283.222328551638,220.857757927429,264.567710688345,175.382691039204,201.04558130553,287.232317978721,191.447926190107
49,49,480,0,0,0,0,0,0,0,0,289.833652788655,239.495893802395,178.209889514114,271.055281508009,264.516222497209,250.198804612487,204.123963157649,209.51192528768,278.328370239947,235.199139897718,213.445752703385,246.644533901274,249.443236673949,209.658258935472,202.801367566981,233.376668207872,238.516107405211,200.428821690612,249.916292774514,201.396150262384,216.280093112451,182.496153781082,254.213878648723,220.653420683127,266.199653799269,184.681039491914,296.986070166317,252.66536001326,304.09320348604,190.185027090549,273.838009716127,238.490929315234
50,50,490,0,0,0,0,0,0,0,0,274.328095023798,228.586274189893,261.730444638718,267.147475108578,245.769741293908,258.989311056229,266.644681357694,225.628205270282,279.511124979541,238.804148599172,252.296937936481,216.822908119667,158.648640285018,286.400911621986,229.440379546507,216.884829087831,308.833233912895,275.703557219871,233.572376185932,277.910683450746,274.69223709195,267.848070172736,248.952751770548,255.869958075433,294.662546771298,243.630827290496,223.52983661292,216.87506486235,246.599063572741,226.718061292007,176.986175428284,369.187687016654
51,51,500,0,0,10,0,0,0,0,0,224.317086689551,259.71081535147,247.548525764273,230.438321628166,262.855714606826,324.644911019423,234.418178773088,283.257887163033,298.381241020573,248.562719788161,227.933335919489,297.235722594828,282.018095870419,261.805447044326,207.297033928205,171.147987788727,192.135468500231,211.676517210903,272.456424464188,289.036036263925,217.183891428326,223.807806311896,252.02661004669,206.858662773532,237.506177154815,398.227636944965,231.271952079812,182.521329108344,224.017293846279,312.041206008588,218.969730877071,236.033405188938
52,52,510,0,0,10,0,0,0,0,0,195.169433754696,249.403541904707,193.266237799306,230.758632652897,269.156058344957,242.784354587422,243.683982516058,240.900487715574,227.34394587665,245.5639511334,291.638576942649,256.742943778044,261.036166160928,317.685492625689,340.621961078137,313.381418319,277.486997126028,286.082639070627,226.894424508152,269.985307690937,246.243919600275,292.642490438022,255.943212220649,236.150784113713,248.624828315592,266.584138137499,240.707296001934,204.59046788265,247.960922628407,143.489308246835,182.948033926464,270.454222804771
53,53,520,0,0,10,0,0,0,0,0,251.870879495292,323.856231010381,325.736141681318,239.120612710092,270.700602707593,260.463388174218,275.121126482841,203.465165077094,282.079114945196,235.419934507878,236.882996084317,245.604902827587,321.42847454254,250.695641404316,272.321585510599,269.107757687598,210.81901163378,237.735379955181,288.527650586687,241.216855332213,203.170135583746,235.074671914295,258.05417641221,235.318522563054,260.47831849819,249.634636204932,240.525321955393,256.521685978647,185.905519954154,336.253150700136,209.347893598983,252.930814690295
54,54,530,0,0,10,0,0,0,0,0,259.028276685181,247.068980639324,300.155754364968,270.555703262657,256.096159980311,265.079024594402,208.279496349024,208.903323818269,214.863651922848,225.457231081401,230.931355389336,249.117037436673,213.568016297891,263.771720017016,233.608925083156,235.772914170257,199.931078386948,234.057610996658,175.170525375367,225.857979003256,177.760932134536,265.532467154476,260.643701010663,296.519351349898,261.072253158524,247.506761017465,197.870780097426,273.461514040734,209.397993526031,255.347177695875,246.993282014361,185.796575310703
55,55,540,0,0,10,0,0,0,0,0,261.288757113621,209.088424848086,198.764827155853,295.936947906144,246.696556645964,269.964105951317,245.039824258596,268.064284935838,232.472347738677,230.735404432487,259.447619646732,238.438515127474,210.003300216046,255.399669490528,200.027460839845,246.629354943259,213.167764059389,206.071680737988,178.595755275621,304.319514894281,193.346301350025,257.450077871674,262.033637729984,256.540266656886,307.377195806661,285.03159530345,278.680878674324,222.293076875456,329.258908773348,244.31970121847,227.492089607733,280.060124318828
